name,datecreated,duration,genre
Bardo: The Intermediate State,2010,PT2H30M,"Drama,Fantasy,Thriller"
The Magic of Christmas II,2010,PT1H14M,Family
Hito no sabaku,2010,PT2H1M,Drama
Zombie F. Kennedy,2010,PT1H29M,Horror
Rubber,2010,PT1H22M,"Comedy,Fantasy,Horror"
Emil,2010,PT1H55M,Biography
Les silences de Laas Geel,2010,PT1H12M,Documentary
The Youngest Son,2010,PT1H40M,"Comedy,Drama"
The Unspeakable,2010,PT1H0M,"Biography,Documentary,News"
Vin Garbutt Teesside Troubadour,2010,PT1H23M,Documentary
Arrieros,2010,PT1H24M,Documentary
The Place in Between,2010,PT1H22M,Drama
Quentin Crisp: Final Encore,2010,PT0M,"Biography,Documentary"
Le coeur d'Auschwitz,2010,PT1H10M,Documentary
"Art! The Untold Story of Seven Un-Aspiring, Aspiring Filmmakers",2010,PT1H12M,"Comedy,Documentary,News"
Campbell Walker Is a Friend of Mine,2010,PT2H0M,Documentary
Elias and the Treasure of the Sea,2010,PT1H18M,"Adventure,Animation,Family"
The Other Guys,2010,PT1H47M,"Action,Comedy,Crime"
My Husband's Wife,2010,PT2H2M,Drama
Awka Liwen,2010,PT1H30M,Documentary
