name,datecreated,duration,genre
Harry Potter and the Sorcerer's Stone,2001,PT2H32M,"Adventure,Family,Fantasy"
Harry Potter and the Chamber of Secrets,2002,PT2H41M,"Adventure,Family,Fantasy"
Harry Potter and the Prisoner of Azkaban,2004,PT2H22M,"Adventure,Family,Fantasy"
Harry Potter and the Goblet of Fire,2005,PT2H37M,"Adventure,Family,Fantasy"
Harry Potter and the Order of the Phoenix,2007,PT2H18M,"Action,Adventure,Family"
Harry Potter and the Half-Blood Prince,2009,PT2H33M,"Action,Adventure,Family"
Harry Potter and the Deathly Hallows: Part 1,2010,PT2H26M,"Adventure,Family,Fantasy"
Harry Potter and the Deathly Hallows: Part 2,2011,PT2H10M,"Adventure,Drama,Fantasy"
